number,value,ELITE_SIZE,POP_SIZE,P_CROSSOVER_MAX,P_CROSSOVER_MIN,crossover_type,k,mutation_rate,rosenbrock_mean,salomon_mean,whitley_mean
1319,19.700617741365914,2,20,0.7988551475892545,0.25652298422603864,one_point,2,0.0076145885664942545,13.807060377925387,0.25987335083703833,45.034919495335316
1092,20.31347268144935,2,20,0.7707529842460237,0.1442637994860096,one_point,2,0.01164729300878579,13.672492657132196,0.27987334617615006,46.9880520410397
811,21.676772019637593,2,26,0.825095966214835,0.2651072496533339,two_point,2,0.0062648378400971955,13.294063404492936,0.3198733470684786,51.41637930735136
1122,21.861894924985574,2,26,0.8015602683099179,0.2755460244923401,one_point,2,0.013284166644629867,14.69435432849387,0.27987334876303566,50.61145709769981
996,22.206194660981083,4,26,0.8293258801787255,0.27750211407771896,one_point,2,0.011779245676907846,13.762120850411412,0.29987334791028414,52.55658978462155
1159,22.21732287421202,2,26,0.7844565755526917,0.26388931461155496,one_point,2,0.010207271362803246,15.374525840110735,0.23987334598875823,51.03756943653657
849,22.248525139792008,2,26,0.8205406332365536,0.2763642064430114,one_point,2,0.00593592592480517,13.484353644553646,0.31987334587775684,52.941348428944615
408,22.27256777743757,4,30,0.8094194256863433,0.26272170449625215,one_point,3,0.01459959090564911,14.211453596276849,0.2798733471929217,52.32637638884294
1460,22.46515178121767,2,26,0.8026012765963593,0.2509346350589403,one_point,2,0.004192513445885887,13.75078166464272,0.43987334594656513,53.20480033306372
1168,22.569166780067594,2,26,0.7816163985839635,0.258843525055159,one_point,4,0.010005435016383579,13.904836131174068,0.35987334802405563,53.44279086100467
928,22.965035378558024,2,26,0.7919041026418079,0.2789572343153438,one_point,2,0.01471778967299067,13.228209493353216,0.29987355491792067,55.36702308740293
390,23.133501016184653,4,30,0.7856247360349458,0.25544419999944395,two_point,3,0.0123335149846273,13.490251485202856,0.33987334618185966,55.57037821716924
275,23.32861389251504,2,24,0.8070157943767386,0.20149125824618652,one_point,2,0.01400286636888491,13.833621139896795,0.2798733465505611,55.87234719109777
829,23.397779886948328,2,26,0.8333207325715984,0.28281395141946114,two_point,2,0.005009378075092657,14.697535909998498,0.2998733459649129,55.19593040488157
1447,23.51571816453061,2,26,0.8037321416978829,0.2523260898464254,one_point,2,0.007873112001369873,17.11987979187719,0.25987334738244,53.1674013543322
555,23.52619474357029,0,30,0.8111983106670924,0.14007882821734938,two_point,2,0.010944667613731338,12.548290256980305,0.25987334702870457,57.77042062670186
1398,23.906770687027116,2,26,0.789440453742338,0.2618373090853759,one_point,2,0.006700040498850692,13.695448852865159,0.33987334587101337,57.68498986234518
812,23.964596247543867,2,26,0.8240711432652699,0.27715315442727767,two_point,2,0.006359858008103899,13.792330005023192,0.3198733460074196,57.781585391600984
737,24.30835642396003,2,22,0.8211648516753767,0.13528052400407142,two_point,2,0.007246985585730482,13.567916627416981,0.33987334600977903,59.01727929845333
156,24.381570275974656,6,24,0.8655942977637283,0.18231831421641703,two_point,3,0.016786627028835877,14.768018024652287,0.2798733530405241,58.09681945023116
848,24.44424441222704,2,26,0.8203890037415087,0.2627532268851789,one_point,2,0.005795938741039127,13.904216935787858,0.35987334594857145,59.0686429549447
1425,24.52889746108501,2,26,0.7003084488653712,0.2537239839274266,one_point,2,0.010605540391854693,13.898301055584458,0.31987334696024494,59.36851798071033
421,24.536417404556214,2,20,0.8083746602219086,0.26280541926660994,two_point,3,0.010296939644771064,14.074404855594048,0.29987334597204385,59.234974012102555
513,24.627592958256756,6,30,0.7871846526758837,0.19969811995357814,two_point,4,0.01570103563066394,13.418236259297677,0.31987334624858815,60.144669269223996
298,24.731356393266623,4,20,0.802247520677084,0.2695732549529166,two_point,4,0.007650869108195955,17.121711924530338,0.33987334659556184,56.73248390867398
355,24.873061621747382,2,26,0.8056297334322167,0.14649415257417797,two_point,2,0.010347152913592509,13.873721470743934,0.2798733466332849,60.46559004786493
