number,value,crossover_type,k,n_elites,p_crossover_max,p_crossover_min,pop_size,rosenbrock_mean,salomon_mean,whitley_mean
273,18.18765847802514,two_point,3,2,0.9055819828203462,0.2687066108270522,30,13.556100648104527,0.25987334842245524,40.747001437548434
1549,18.378108273587905,one_point,3,2,0.8874256207270491,0.23707112167510067,30,13.785208718453953,0.2798733460969251,41.06924275621284
1339,18.688736477692224,one_point,4,2,0.883616013364085,0.23495148185538192,30,14.128867312587298,0.25987334601858264,41.67746877447079
1785,18.729376573404394,two_point,3,2,0.8894357612871877,0.232875429488642,30,13.622518424539688,0.2998733460095227,42.26573794966397
750,19.107905650104595,two_point,3,2,0.9105799057003655,0.27055435809082,28,14.697078285322027,0.25987334651816146,42.3667653184736
1450,19.125152910992863,one_point,3,2,0.8778303011574062,0.24947653451980445,30,13.541514451861143,0.23987335535573723,43.59407092576171
1717,19.557052464530937,one_point,3,2,0.8814941526755483,0.1084884196027414,30,13.597658278887337,0.23987334632225638,44.833625768383214
871,19.60260384133495,one_point,3,4,0.9166459183916182,0.26324614715311756,30,13.736880782375858,0.23987334602654142,44.83105739560246
1297,19.955057618858593,one_point,3,2,0.8889290404551586,0.249031041761524,30,14.220531061003419,0.2998733460858426,45.344768449486516
596,20.023528950535937,one_point,3,2,0.8446298191555349,0.21619898635156298,22,12.550656779818876,0.2598733467082542,47.26005672508069
1538,20.035433736537257,one_point,3,2,0.8824569397304519,0.23519445825846344,30,18.29375638372652,0.21987334926676144,41.59267147661849
994,20.13719173544805,uniform,3,2,0.8450982472902264,0.22013125979335937,30,16.084941975582055,0.2798733461284962,44.046759884633595
370,20.34664845694542,uniform,3,2,0.897999863046679,0.2543314116696158,26,13.323568500285395,0.2998733459649307,47.41650352458594
1408,20.58705903591277,one_point,3,4,0.8869338883824675,0.22690882228898915,30,13.913298927669597,0.25987334733965906,47.58800483272905
1308,20.666009686199775,one_point,3,2,0.886610184145268,0.2451535132437839,30,13.160684694204239,0.23987334614561368,48.59747101824948
376,20.676275485847174,one_point,3,2,0.8966872378629903,0.2480913732947606,26,13.924732175549526,0.279873366575988,47.824220915416014
1584,20.706466727893417,one_point,3,2,0.8985016729570524,0.25700184258667674,30,13.496202780268368,0.23987334748089945,48.38332405593099
1878,20.94491617669863,one_point,6,4,0.8799344993750214,0.10890827859772692,30,16.40836296886659,0.2998733459358688,46.12651221529343
385,20.961347700189116,two_point,3,2,0.8929317555276644,0.2579040955857133,26,13.835633673774913,0.25987334645687865,48.788536080335554
1840,20.990400302905584,one_point,3,4,0.8824891041998966,0.11539382558656548,30,13.353060835599896,0.29987334598311455,49.31826672713375
1316,21.04130702182159,one_point,3,2,0.8872425666077481,0.2375412496027197,30,14.215023456980518,0.2398733467793933,48.66902426170486
1877,21.11478166701677,one_point,3,4,0.8887608245985883,0.11380123504862086,30,18.501938931446247,0.23987334596909196,44.60253272363498
183,21.13904152409624,uniform,5,4,0.8479730015368415,0.2551073616439408,20,18.35229483441845,0.37987334607872464,44.68495639179154
67,21.240092085826298,one_point,4,4,0.840936840255109,0.11688182320726671,30,12.973933978611289,0.2798733461359387,50.466468932731665
643,21.38989118570433,two_point,3,2,0.8272653746379725,0.22600549176640147,22,17.01826478165043,0.3198733459091928,46.83153542955336
1633,21.440762456523228,one_point,3,2,0.8906993460301791,0.25686588450291803,30,13.42167693919951,0.299873346209272,50.6007370841609
348,21.582327605731127,one_point,3,2,0.9048902083980528,0.11493603105396331,30,13.899399775888464,0.27987334685789145,50.56770969444703
1656,21.680427240697497,one_point,3,2,0.8129485259385663,0.25084904763321964,30,13.880615602291163,0.2998733462774545,50.860792773523876
624,21.7170113508531,two_point,3,2,0.8291671709301681,0.22364065928508084,22,17.66154834508172,0.279873346051706,47.209612361425876
1842,21.720541132792317,one_point,3,4,0.8877524857838943,0.22820552082971773,30,13.91862702616909,0.2598733460140893,50.983123026193766
2078,21.866894231930534,one_point,3,2,0.8877631432809217,0.2448936738869605,30,13.663173012875863,0.27987334666789077,51.65763633624785
1467,21.890164753971153,one_point,3,2,0.8780129312595131,0.2431093875261073,30,14.119838137769964,0.27987334619911286,51.27078277794438
1288,21.895742467243764,one_point,3,2,0.8901174879230873,0.2524113329409837,30,13.633343803957525,0.23987335436286852,51.81401024341089
2141,21.905111017236475,two_point,3,2,0.8403545819586309,0.24908779124024225,30,13.670870309241508,0.2598733461382209,51.78458939632969
1637,21.93384716543856,one_point,3,2,0.8852297419393775,0.23540176617966124,30,13.754051701167588,0.2798733459821959,51.76761644916589
1324,22.042254345044856,one_point,4,2,0.8854653637659783,0.2347364302279206,30,15.066819004028954,0.299873345929227,50.76007068517639
2046,22.060992072080396,one_point,3,2,0.8438444211237063,0.2505201645250008,30,13.823324339800388,0.27987334944921827,52.07977852699158
