1,125.541,2,4,2,0.871,0.17,2,,,,,,k,n_elites,,,,,,,id,val,cr_type,k,n_elites,p_max,p_min,pop_size
2,148.851,2,6,1,0.88,0.204,0,,,1,125.541,uniform,4,4,0.871,0.17,24,,,,957,49.618,one_point,5,6,0.873,0.202,24
3,23398.556,0,5,0,0.93,0.186,5,,,2,148.851,uniform,6,2,0.88,0.204,20,,TO PO PRAWEJ,,835,62.341,one_point,5,6,0.948,0.104,26
4,149.86,0,2,2,0.913,0.2,3,,,3,23398.556,one_point,5,0,0.93,0.186,30,,,,402,63.904,one_point,5,6,0.847,0.231,24
5,174.756,0,5,3,0.935,0.123,2,,,4,149.86,one_point,2,4,0.913,0.2,26,,,,1472,64.232,uniform,5,6,0.93,0.12,24
6,15766.079,1,6,0,0.882,0.208,0,,,5,174.756,one_point,5,6,0.935,0.123,24,,,,1266,64.739,one_point,5,6,0.928,0.104,28
7,108.012,0,3,3,0.84,0.297,2,,,6,15766.079,two_point,6,0,0.882,0.208,20,,,,1073,64.775,one_point,5,6,0.94,0.219,24
8,77.288,0,6,2,0.852,0.114,3,,,7,108.012,one_point,3,6,0.84,0.297,24,,,,457,65.91,two_point,4,6,0.84,0.109,28
9,23065.53,1,5,0,0.944,0.231,4,,,8,77.288,one_point,6,4,0.852,0.114,26,,,,648,67.063,two_point,5,6,0.843,0.101,24
10,128.57,1,3,2,0.812,0.279,5,,,9,23065.53,two_point,5,0,0.944,0.231,28,,,,858,67.094,one_point,5,6,0.927,0.199,26
11,129.378,1,6,3,0.85,0.24,3,,,10,128.57,two_point,3,4,0.812,0.279,30,,,,840,67.403,one_point,5,6,0.936,0.211,26
12,113.923,1,6,2,0.907,0.143,4,,,11,129.378,two_point,6,6,0.85,0.24,26,,,,763,67.505,one_point,5,6,0.943,0.1,26
13,20073.254,1,5,0,0.901,0.101,4,,,12,113.923,two_point,6,4,0.907,0.143,28,,,,766,67.576,one_point,5,6,0.943,0.104,26
14,246.93,1,3,1,0.876,0.224,4,,,13,20073.254,two_point,5,0,0.901,0.101,28,,,,848,67.812,one_point,5,6,0.935,0.206,26
15,122.807,0,3,3,0.828,0.295,1,,,14,246.93,two_point,3,2,0.876,0.224,28,,,,570,68.049,two_point,5,6,0.85,0.104,24
16,113.979,0,3,3,0.829,0.293,1,,,15,122.807,one_point,3,6,0.828,0.295,22,,,,152,68.087,one_point,6,6,0.852,0.106,26
17,92.201,0,3,3,0.829,0.297,1,,,16,113.979,one_point,3,6,0.829,0.293,22,,,,712,68.375,one_point,3,6,0.943,0.1,28
18,114.703,0,3,3,0.829,0.296,1,,,17,92.201,one_point,3,6,0.829,0.297,22,,,,1393,68.487,two_point,5,6,0.93,0.215,28
19,184.984,0,3,3,0.828,0.296,1,,,18,114.703,one_point,3,6,0.829,0.296,22,,,,1118,68.566,two_point,5,6,0.845,0.207,26
20,93.345,0,3,3,0.835,0.296,1,,,19,184.984,one_point,3,6,0.828,0.296,22,,,,1452,68.979,uniform,5,6,0.933,0.123,24
21,70.83,0,3,3,0.827,0.287,1,,,20,93.345,one_point,3,6,0.835,0.296,22,,,,67,69.162,one_point,5,6,0.92,0.21,28
22,191.505,2,2,2,0.859,0.253,3,,,21,70.83,one_point,3,6,0.827,0.287,22,,,,571,69.184,two_point,5,6,0.839,0.245,24
23,202.304,2,2,2,0.8,0.261,3,,,22,191.505,uniform,2,4,0.859,0.253,26,,,,810,69.339,one_point,5,6,0.944,0.24,26
